ID,Song,Artist,Genre,TopSongs
,Politics of Dancing,Re-Flex,F Dance,
,Spirit In The Sky,Dr. and  the Medics,M Dance,
,Dancing With Myself,Billy Idol,F Dance,
,Video Killed  The Radio Star,Buggles,F Dance,
,Everybody Have Fun tonight,Wang Chung,F Dance,
,Blue,Eiffel 65,F Dance,
,Lips of An Angel,Hinder,S Dance,
,My Perogative,Bobby Brown,M Dance,
,I Will Always Love You,Whitney Houston,S Dance,
,I Want to Dance With Somebody,Whitney Houston,F Dance,
,White Lines,Grandmaster Flash,M Dance,
,Rick Astley,Never Gonna Give You Up,F Dance,
,You're  Beautiful,James Blunt,S Dance,
,You Raise Me Up,Josh Grogan,S Dance,
,True,Spandau Ballet,S Dance,
,Daughters,John Mayer,S Dance,
,Complicated,Avril Lavigne,M Dance,
,Sandstorm,Darude,F Dance,
,Beer Barrel  Polka,Walter Ostanek,Polka,
,Cherry Polka,Walter Ostanek,Polka,
,I Want to Grow Old With You,Adam Sandler,S Dance,
,Barett's Privateers,Sons of  Erin,Celtic,
,Subliime,Santaria,F Dance,
,Quadriglia,Tarantella,Italian,
,Serenata,Tarantella,Italian,
,Tarantella Medley,Tarantella,Italian,
,Cha Cha Slide,DJ  Caspar,M Dance,
,Wild Wild West,Escape Club,F Dance,
,Move This,Technotronic,F Dance,
,Tribal Dance,2 Unlimited,F Dance,
,I Want You,Savage Garden,F Dance,
,Broken Bones,Love Inc.,F Dance,
,Collective Soul,Precious Declaration,M Rock,
,Apparitions,Matthew Good Band,S Dance,
,All Star,Smashmouth,M Rock,
,The  Bad Touch,Bloodhound Gang,F Dance,
,Somebody Told Me,The Killers,F Rock,
,One Thing,Finger Eleven,S Dance,
,The Reason,Hoobastank,S Dance,
,When The Night Feels My Song,Bedouin Soundclash,M Dance,
,Untitled,Simple Plan,S Dance,
,At The Hop,Danny and the Juniors,60s,
,Whole Lotta Skaking Going On,Jerry Lee Lewis,60s,
,Johnny B. Goode,Chuck Berry,60s,
,Rhythm's Gonna Get You,Miami Sound Machine,F Dance,
,Dancing On The Ceiling,Lionel Richie,F Dance,
,Beds Are Burning,Midnight Oil,M Dance,
,Jump,Pointer Sisters,F Dance,
,Beth,Kiss,S Dance,
,I was Made For Loving You,Kiss,Disco,
,When I'm With You,Sheriff,S Dance,
,Feels Like Home,Chantal Kreviazuk,S Dance,
,Jewish Hora Medley,Miscellaneous,Specialty,
,Help From My Friends,Joe Cocker,S Dance,
,Love Somebody,Rick Springield,F Dance,
,Sauvamente,Elvis Crispo,F Dance,
,No Limits,2 Unlimited,F Dance,
,You Already  For This,2 Unlimited,F Dance,
,Crazy Train,Ozzy Osbourne,F Rock,
,Glenn Miller Medley,Jive Bunny,Big Band,
,The Last Waltz,Engelburt Humperdinck,Adult Contemperary,
,Release Me,Engelburt Humperdinck,Adult Contemperary,
